"file","cast","date","station_id","latitude","longitude","instrumentType","depth","temperature","salinity"
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",13,2.10999989509583,30.5900001525879
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",15,2.04999995231628,30.6000003814697
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",17,1.96000003814697,30.6200008392334
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",19,1.92999994754791,30.6599998474121
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",21,1.9099999666214,30.6900005340576
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",23,1.89999997615814,30.7600002288818
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",25,1.89999997615814,30.7800006866455
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",27,1.9099999666214,30.7999992370605
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",29,1.9099999666214,30.8700008392334
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",31,1.92999994754791,30.8899993896484
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",33,1.92999994754791,30.8999996185303
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",35,1.91999995708466,30.9099998474121
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",37,1.91999995708466,30.9200000762939
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",39,1.9099999666214,30.9400005340576
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",41,1.9099999666214,30.9599990844727
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",43,1.89999997615814,30.9899997711182
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",45,1.89999997615814,31.0300006866455
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",47,1.89999997615814,31.0400009155273
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",49,1.9099999666214,31.1000003814697
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",51,1.91999995708466,31.1599998474121
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",53,1.94000005722046,31.1800003051758
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",55,1.96000003814697,31.2000007629395
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",57,1.94000005722046,31.2399997711182
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",59,1.94000005722046,31.2600002288818
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",61,1.95000004768372,31.25
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",63,1.96000003814697,31.2700004577637
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",65,1.98000001907349,31.2900009155273
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",67,1.99000000953674,31.2900009155273
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",69,1.99000000953674,31.2900009155273
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",71,1.99000000953674,31.3099994659424
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",73,1.99000000953674,31.3199996948242
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",75,2,31.3299999237061
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",77,2,31.3299999237061
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",79,2,31.3400001525879
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",81,2,31.3799991607666
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",83,1.99000000953674,31.4300003051758
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",85,1.99000000953674,31.4699993133545
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",87,2,31.5100002288818
"1993.nc",2480,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",89,2.00999999046326,31.5300006866455
"1993.nc",2482,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",0,2.23000001907349,30.2310009002686
"1993.nc",2482,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",1,2.22000002861023,30.2310009002686
"1993.nc",2482,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",3,2.13000011444092,30.2689990997314
"1993.nc",2482,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",5,2.11999988555908,30.2970008850098
"1993.nc",2482,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",7,2.14000010490417,30.3139991760254
"1993.nc",2482,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",9,2.09999990463257,30.3729991912842
"1993.nc",2482,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",11,2.13000011444092,30.5300006866455
"1993.nc",2482,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",13,2.10999989509583,30.5949993133545
"1993.nc",2482,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",15,2.04999995231628,30.6000003814697
"1993.nc",2482,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",17,1.96000003814697,30.6180000305176
"1993.nc",2482,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",19,1.92999994754791,30.6630001068115
"1993.nc",2482,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",21,1.9099999666214,30.6949996948242
"1993.nc",2482,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",23,1.89999997615814,30.757999420166
"1993.nc",2482,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",25,1.89999997615814,30.7789993286133
"1993.nc",2482,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",27,1.9099999666214,30.7959995269775
"1993.nc",2482,1993-04-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",29,1.9099999666214,30.871000289917
